tweet_text,senti-score,senti-type,all_hashtags,favorite_count,retweet_count,created_at,username,followers_count,location
The 2021 Energy Code - Significant #EnergyEfficiency Gains: https://t.co/S1PxFxI8tD @IntlCodeCouncil @ACEEEdc #IECC #buildingcodes #energycodes #energy #energystorage #renewableenergy #greenbuilding #architecture #building #buildings #construction #climatechange #sustainability https://t.co/kIhfVGyOSp,0.88826,positive,"[{'text': 'EnergyEfficiency', 'indices': [35, 52]}, {'text': 'IECC', 'indices': [110, 115]}, {'text': 'buildingcodes', 'indices': [116, 130]}, {'text': 'energycodes', 'indices': [131, 143]}, {'text': 'energy', 'indices': [144, 151]}, {'text': 'energystorage', 'indices': [152, 166]}, {'text': 'renewableenergy', 'indices': [167, 183]}, {'text': 'greenbuilding', 'indices': [184, 198]}, {'text': 'architecture', 'indices': [199, 212]}, {'text': 'building', 'indices': [213, 222]}, {'text': 'buildings', 'indices': [223, 233]}, {'text': 'construction', 'indices': [234, 247]}, {'text': 'climatechange', 'indices': [248, 262]}, {'text': 'sustainability', 'indices': [263, 278]}]",0,0,2020-11-09 12:43:02,BrasilGreenBldg,83,
"Qais Al Suwaidi, Assistant Expert on Climate Change at #MoCCaE, participated in @vice’s episode of ‘Vice Around the World’ that discussed issues of #ClimateChange, #GlobalWarming, #Biodiversity, and environmental protection. https://t.co/tNGVYJMbp0",0.48713,neutral,"[{'text': 'MoCCaE', 'indices': [55, 62]}, {'text': 'ClimateChange', 'indices': [148, 162]}, {'text': 'GlobalWarming', 'indices': [164, 178]}, {'text': 'Biodiversity', 'indices': [180, 193]}]",1,0,2020-11-09 12:41:50,MoCCaEUAE,33836,UAE
Great to see #indegenous #youth experiences showcased at the #RaceToZero session on #cleanenergy and #healthyrecovery @j_rdynburnouf Canada sometimes shows good international leaderhip in #climatechange but it can do a lot more nationally. @GCHAlliance @CAPE_Doctors @CMA_Docs https://t.co/biRMZQZUdw,1.2739699999999998,positive,"[{'text': 'indegenous', 'indices': [13, 24]}, {'text': 'youth', 'indices': [25, 31]}, {'text': 'RaceToZero', 'indices': [61, 72]}, {'text': 'cleanenergy', 'indices': [84, 96]}, {'text': 'healthyrecovery', 'indices': [101, 117]}, {'text': 'climatechange', 'indices': [188, 202]}]",3,0,2020-11-09 12:41:49,yassentch,2216,"Montreal, Canada"
"U.N. envoy Mark Carney backs a push to make companies give investors an annual vote on their #climatechange strategies, saying it might prove more effective than ""overly prescriptive"" regulation #greenfinance #GHS2020 https://t.co/Wkeed8lkIE",1.7852599999999996,positive,"[{'text': 'climatechange', 'indices': [93, 107]}, {'text': 'greenfinance', 'indices': [195, 208]}, {'text': 'GHS2020', 'indices': [209, 217]}]",2,1,2020-11-09 12:41:40,TRF_Climate,13975,London
"SURPRISE! Today's special #podcast episode by @montelnews covering the #USAElections2020 and #energy with Ketil Raknes, Assistant Professor at Hoyskolen Kristiania, and Trevor Sikorski of @EnergyAspects. Tune in: https://t.co/Mbf5bMsTqw #Biden #energytransition #climatechange https://t.co/rm17c7MCbj",0.38924000000000003,neutral,"[{'text': 'podcast', 'indices': [26, 34]}, {'text': 'USAElections2020', 'indices': [71, 88]}, {'text': 'energy', 'indices': [93, 100]}, {'text': 'Biden', 'indices': [237, 243]}, {'text': 'energytransition', 'indices': [244, 261]}, {'text': 'climatechange', 'indices': [262, 276]}]",0,0,2020-11-09 12:41:12,OutwithAnna,318,"Berlin, Germany"
#ClimateEmergency - #UK #health professions call for #ClimateChange #tax on #meat &amp; #dairy https://t.co/MHfq1aiQgR,0.34466,neutral,"[{'text': 'ClimateEmergency', 'indices': [0, 17]}, {'text': 'UK', 'indices': [20, 23]}, {'text': 'health', 'indices': [24, 31]}, {'text': 'ClimateChange', 'indices': [53, 67]}, {'text': 'tax', 'indices': [68, 72]}, {'text': 'meat', 'indices': [76, 81]}, {'text': 'dairy', 'indices': [88, 94]}]",0,1,2020-11-09 12:40:04,3ValleyVegns,267,Upper Calder Valley and beyond
"Non-transport/#climatechange /#COVID19 tweet:  Because it's important.  While we have plenty to worry about, remember how comfortable you are, and that this happened in Europe in my parents' lifetime. https://t.co/9mfpO8Z3VN",0.62069,positive,"[{'text': 'climatechange', 'indices': [14, 28]}, {'text': 'COVID19', 'indices': [30, 38]}]",3,0,2020-11-09 12:40:02,CHAIRRDRF,3045,
"How will Joe Biden's win affect global #climate politics? ""Huge impact in terms of having the U.S. joining the effort to deal with #climatechange as opposed to being out there on its own,"" says London Stock Exchange CEO #ParisAgreement @LSEplc #GHS2020 https://t.co/C2FNSvuHr3",1.5893999999999997,positive,"[{'text': 'climate', 'indices': [39, 47]}, {'text': 'climatechange', 'indices': [131, 145]}, {'text': 'ParisAgreement', 'indices': [220, 235]}, {'text': 'GHS2020', 'indices': [244, 252]}]",0,1,2020-11-09 12:38:56,TRF_Climate,13975,London
"Brave new arctic https://t.co/bR3ulvaDTk #ClimateChange   The #ArcticOcean’s refreeze has slowed to a crawl following record #SiberianFires, polar temperatures topping 100 degrees Fahrenheit, and near record low sea ice extent in September. https://t.co/CLz7zwEf72",1.1861899999999999,positive,"[{'text': 'ClimateChange', 'indices': [41, 55]}, {'text': 'ArcticOcean', 'indices': [62, 74]}, {'text': 'SiberianFires', 'indices': [125, 139]}]",0,0,2020-11-09 12:38:21,animalculum,4392,"Orsay, FR, EU"
"@RonniSalt I thought it was nice #tribute to global #climatechange activist Greta Thunberg when Kelly echoed her extinction rebellion speech ""how dare you, how dare you!"" call for action responding to Turnbull on #QandA. Perhaps Kelly's acceptance/denial is subliminal..? #auspol #auspol2020",0.48214000000000007,neutral,"[{'text': 'tribute', 'indices': [33, 41]}, {'text': 'climatechange', 'indices': [52, 66]}, {'text': 'QandA', 'indices': [213, 219]}, {'text': 'auspol', 'indices': [272, 279]}, {'text': 'auspol2020', 'indices': [280, 291]}]",3,0,2020-11-09 12:38:20,hot_perkertney,27,down under
NOVEMBER 19: Take Action for #WorldToiletDay 2020 | Sustainable Sanitation and #ClimateChange | #WASH https://t.co/0o2fHpm0FN via @un_water,0.22886,neutral,"[{'text': 'WorldToiletDay', 'indices': [29, 44]}, {'text': 'ClimateChange', 'indices': [79, 93]}, {'text': 'WASH', 'indices': [96, 101]}]",0,0,2020-11-09 12:37:07,WaterTrends,13176,Canada
America is a significant player in the push back against catastrophic #climatechange &amp; must take leadership in emission reductions  @mithika_mwenda .   Join .@PACJA1 for a Media Conference Call on @JoeBiden's election a President and Climate Action in Africa.  @kenya_climate,0.3918299999999999,neutral,"[{'text': 'climatechange', 'indices': [70, 84]}]",0,0,2020-11-09 12:37:01,JudeMigz,21,
"Cities - where the fight for a #green recovery will be won or lost: ""The recovery is a chance to rethink #urbanliving, address #climatechange and prepare for future #pandemics to future proof our #cities "" via @UNEP  #urbanplanning #resilientrecovery  https://t.co/VgIjnbZZ6D",1.2936899999999998,positive,"[{'text': 'green', 'indices': [31, 37]}, {'text': 'urbanliving', 'indices': [105, 117]}, {'text': 'climatechange', 'indices': [127, 141]}, {'text': 'pandemics', 'indices': [165, 175]}, {'text': 'cities', 'indices': [196, 203]}, {'text': 'urbanplanning', 'indices': [217, 231]}, {'text': 'resilientrecovery', 'indices': [232, 250]}]",0,0,2020-11-09 12:37:00,UrbanPlngDigest,75,
"@RonniSalt Kelly offered no effective defence of Murdoch. His attempt to portray @TurnbullMalcom as embittered didn't wash. I had a sense this would be a key QandA so tuned in via VPN. I wasn't disappointed. Interesting on #FourCorners, #Dismissal, #ClimateChange, Abetz. Shallow on #PRC",1.3147499999999999,positive,"[{'text': 'FourCorners', 'indices': [223, 235]}, {'text': 'Dismissal', 'indices': [237, 247]}, {'text': 'ClimateChange', 'indices': [249, 263]}, {'text': 'PRC', 'indices': [283, 287]}]",4,1,2020-11-09 12:36:39,maximos62,2939,Australia & Singapore
"Joe Biden's climate plan could put Paris Agreement targets 'within striking distance,' experts say - CNNPolitics #climatechange #BuildBackBetter #ActOnClimate  https://t.co/FXfJWwmHtb",0.6409900000000001,positive,"[{'text': 'climatechange', 'indices': [113, 127]}, {'text': 'BuildBackBetter', 'indices': [128, 144]}, {'text': 'ActOnClimate', 'indices': [145, 158]}]",0,0,2020-11-09 12:36:15,RonnaugVinje,244,"New York, USA"
"DC, world’s 1st LEED Platinum city, is ready to help BidenHarris @Transition46 mitigate #climatechange in US cities. #CleanEnergyDC @DCGreenBank @DCSEU @SustainDC    #dcbuildinginnovationhub @DOEE_DC",0.60587,positive,"[{'text': 'climatechange', 'indices': [88, 102]}, {'text': 'CleanEnergyDC', 'indices': [117, 131]}, {'text': 'dcbuildinginnovationhub', 'indices': [166, 190]}]",3,0,2020-11-09 12:36:05,TommyWells,14636,"Washington, DC"
@jwgledhill I fail to understand the glorification of war. If you are in need of a battle then battle #climatechange + #Cancer + #AntimicrobialResistance  There are enough issues to battle but I guess people will rather bash their neighbours over the head 🙄,-1.2195200000000002,negative,"[{'text': 'climatechange', 'indices': [102, 116]}, {'text': 'Cancer', 'indices': [119, 126]}, {'text': 'AntimicrobialResistance', 'indices': [129, 153]}]",1,0,2020-11-09 12:35:41,KitOfNowhere,7515,"London, England"
Virgin Media commits to 100% renewable energy goal #climatechange #jointhejourney #sustainability https://t.co/Uivw4oegrN,1.22302,positive,"[{'text': 'climatechange', 'indices': [51, 65]}, {'text': 'jointhejourney', 'indices': [66, 81]}, {'text': 'sustainability', 'indices': [82, 97]}]",0,0,2020-11-09 12:35:17,naturgyireland,705,"Ireland, UK"
"Covid-19 &amp; #climatechange: global issues that need cooperative solutions. Join #GerPrtForum2020, where experts from #Germany &amp; #Portugal discuss what actions businesses &amp; policymakers in both countries can take 👉 https://t.co/UiPY3sbmhv https://t.co/8aTJpmX3sF",0.25848999999999994,neutral,"[{'text': 'climatechange', 'indices': [15, 29]}, {'text': 'GerPrtForum2020', 'indices': [83, 99]}, {'text': 'Germany', 'indices': [120, 128]}, {'text': 'Portugal', 'indices': [135, 144]}]",1,0,2020-11-09 12:35:06,adelphi_berlin,5328,Berlin
