"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Antigua and Barbuda","ATG","CO2 emissions (kg per PPP $ of GDP)","EN.ATM.CO2E.PP.GD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.389451129527773","0.34953332669626","0.333204231085515","0.317756109680341","0.287700972018435","0.302709188598829","0.297438617583529","0.291090443154656","0.284662718786035","0.279908771568178","0.268021373333767","0.278874446109042","0.288912112239213","0.291274667734112","0.280443639335316","0.260027782948129","0.231546277582559","0.218318778947256","0.219238496480612","0.262669951085265","0.289006619034427","0.282690880743082","0.295959719596749","0.304842404822468","0.299637686734417","0.308769479061747","0.296029953058222","","","","",
"Australia","AUS","CO2 emissions (kg per PPP $ of GDP)","EN.ATM.CO2E.PP.GD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.891563812998301","0.850633310918717","0.842705633223369","0.821254153243452","0.776833620174108","0.747007527863428","0.751537029116452","0.720363551966245","0.700613137518224","0.680416789567695","0.653557937934324","0.611677218306476","0.604857787992941","0.568474548326793","0.54398074131087","0.527081348997135","0.51476023109224","0.488836773552563","0.484816105690472","0.451595479994523","0.45140258558714","0.417937041804659","0.39865011708385","0.350704459045498","0.32830709553447","0.33148356877197","0.328178333766252","","","","",
"Austria","AUT","CO2 emissions (kg per PPP $ of GDP)","EN.ATM.CO2E.PP.GD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.387260792734347","0.386738983755463","0.340683304005006","0.333662902895068","0.318757696363665","0.318706992929965","0.324569620671748","0.3100601873222","0.299871639901499","0.281074674221795","0.264469448702118","0.275660806187283","0.265931684614882","0.27554681689841","0.261618653988376","0.256230749636003","0.23089747945449","0.21245163148091","0.200141630826542","0.183756886698637","0.192175733949868","0.174418480350362","0.159138817828746","0.153873583025184","0.141234013253517","0.142115005569423","0.133629124810065","","","","",
"Azerbaijan","AZE","CO2 emissions (kg per PPP $ of GDP)","EN.ATM.CO2E.PP.GD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.80346727112087","1.97366431576046","2.08483549204405","1.83849791834766","1.67129501197874","1.48093512188104","1.41468142008488","1.17144073739865","1.06496166327028","0.924544091690048","0.856028263533398","0.788352891442768","0.736495032279167","0.597272457416739","0.4917701169743","0.297334096579902","0.306901119511406","0.250241780366596","0.226991902710622","0.244829260931301","0.238625242735788","0.219297479290087","0.224766093490319","0.260831534303875","0.268272290136875","","","","",
"Burundi","BDI","CO2 emissions (kg per PPP $ of GDP)","EN.ATM.CO2E.PP.GD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0624804446820449","0.065639081540933","0.0576700997058316","0.0631397897708441","0.0663552968305509","0.0716855142397313","0.0776951691198539","0.0799640280628271","0.0754883376238576","0.0762786839683125","0.080708923043989","0.0585621727912824","0.057167266975396","0.0431050541711553","0.0491395336111354","0.0367344710998596","0.0410723428898402","0.0386632510210047","0.0368763643450595","0.0352532472386016","0.0535477411789551","0.0696260656603713","0.0608669374845819","0.0580976326426742","0.0503351370205114","0.047171420732559","0.0592275906683117","","","","",
"Belgium","BEL","CO2 emissions (kg per PPP $ of GDP)","EN.ATM.CO2E.PP.GD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.570375678213826","0.566871373474158","0.550846213737158","0.522379309311941","0.517021555144882","0.494575770910589","0.511973047228741","0.477521709348996","0.476104019736841","0.439176781254257","0.404017868090772","0.386582137010709","0.34295608310891","0.352182631593946","0.332811550375908","0.312212206653645","0.288600831972557","0.265433571437927","0.257430555872567","0.243424056038119","0.253836618395016","0.221204948987371","0.202530988178141","0.200067926306399","0.185782167515924","0.190677622838263","0.175904064691418","","","","",
"Benin","BEN","CO2 emissions (kg per PPP $ of GDP)","EN.ATM.CO2E.PP.GD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.112861782281503","0.121567777056986","0.126267499298453","0.146987431441357","0.157498923186358","0.152638395108903","0.136933201640394","0.122513842921353","0.116183325764401","0.139926701358689","0.132328490283247","0.13956743536208","0.150395867152458","0.161619238383275","0.160565654578709","0.146154086841928","0.220706775216721","0.235439793297685","0.216036541790447","0.221386597354114","0.23403365515692","0.221362999859628","0.197616883071051","0.188778962072881","0.184439142016403","0.198657723053591","0.198231465058218","","","","",
"Burkina Faso","BFA","CO2 emissions (kg per PPP $ of GDP)","EN.ATM.CO2E.PP.GD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.112176117969065","0.106991736932869","0.10497527342654","0.0985386800503709","0.098010660125904","0.0882271469438326","0.0880851366755833","0.092841226088842","0.0913890816304219","0.0906595301820476","0.0973131237465698","0.0855435372302422","0.0812920973967877","0.0794373964671391","0.0758018714599292","0.0690006238013994","0.0761726343961474","0.0835417768156425","0.0868924710038625","0.0887314990047577","0.0897952038789792","0.0862312818570867","0.100572540711002","0.101962796983667","0.0994348157200734","0.107293725148787","0.0967881027341689","","","","",
"Bangladesh","BGD","CO2 emissions (kg per PPP $ of GDP)","EN.ATM.CO2E.PP.GD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.161392982478236","0.157769833657651","0.152630772754356","0.148708109809287","0.153012248942151","0.170963407524255","0.164805866099035","0.167508079298616","0.158476723237274","0.162789655530222","0.162529451653427","0.178718461822724","0.174602399839429","0.171106977507512","0.169757350874621","0.161988085594711","0.16257058622698","0.151177889892498","0.155854818229343","0.161630984541304","0.167311255424649","0.161632166315391","0.152549600077153","0.144635489566701","0.141727028323423","0.145928858039752","0.138551159712083","","","","",
"Bulgaria","BGR","CO2 emissions (kg per PPP $ of GDP)","EN.ATM.CO2E.PP.GD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.13347826105576","0.925318514358952","0.918957955383793","1.14072745770563","0.875485624456963","0.892813013953573","0.989265515594681","1.08025903409772","0.960622021347641","0.922329147128408","0.82934385637977","0.833111034793873","0.731439019220557","0.723659054999039","0.659718109002496","0.607909438693366","0.565660679166222","0.541130252842141","0.472393341724411","0.403941736246757","0.401072493346618","0.42885460783442","0.378073886167109","0.328716160544965","0.333766323703533","0.339798983464198","0.294255518876473","","","","",
